Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW_LST_Customer List-Get.udcx	Data Connection Library/MTM-QMW_LST_Customer List-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW_LST_Customer List-Get
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW_LST_Department List-Get.udcx	Data Connection Library/MTM-QMW_LST_Department List-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW_LST_Department List-Get
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW_LST_Departments-Get.udcx	Data Connection Library/MTM-QMW_LST_Departments-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW_LST_Departments-Get
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW_LST_Product List-Get.udcx	Data Connection Library/MTM-QMW_LST_Product List-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW_LST_Product List-Get
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW_LST_Supplier List-Get.udcx	Data Connection Library/MTM-QMW_LST_Supplier List-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW_LST_Supplier List-Get
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_XSL Transformations-Get.udcx	Data Connection Library/MTM-QMW-IMM_LIB_XSL Transformations-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_XSL Transformations-Get
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_SOP Library-GetListItems.udcx	Data Connection Library/MTM-QMW-IMM_LIB_SOP Library-GetListItems.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_SOP Library-GetListItems
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_SOP Library-Set.udcx	Data Connection Library/MTM-QMW-IMM_LIB_SOP Library-Set.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_SOP Library-Set
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_Incident Investigation Reports-Set.udcx	Data Connection Library/MTM-QMW-IMM_LIB_Incident Investigation Reports-Set.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_Incident Investigation Reports-Set
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_Incident Investigation Reports-GetListItems.udcx	Data Connection Library/MTM-QMW-IMM_LIB_Incident Investigation Reports-GetListItems.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_Incident Investigation Reports-GetListItems
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_Incident Investigation Reports-Get.udcx	Data Connection Library/MTM-QMW-IMM_LIB_Incident Investigation Reports-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_Incident Investigation Reports-Get
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_Incident Forms-GetListItems.udcx	Data Connection Library/MTM-QMW-IMM_LIB_Incident Forms-GetListItems.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_Incident Forms-GetListItems
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_SOP Library-Get.udcx	Data Connection Library/MTM-QMW-IMM_LIB_SOP Library-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_SOP Library-Get
Data Connection Library	16dbdca8-45d4-43f5-9733-9cf1b236eb54	/sites/RnD	MTM-QMW-IMM_LIB_Incident Forms-Get.udcx	Data Connection Library/MTM-QMW-IMM_LIB_Incident Forms-Get.udcx	http://dev2010b/sites/RnD/	MTM-QMW-IMM_LIB_Incident Forms-Get
